member_id,recruit_post_id,age_in_range,age_diff,age_range_overlap,gender_match_to_post,gender_match_from_member,gender_match_both,lifestyle_match,personality_match,lifestyle_preference_match,personality_preference_match,smoking_compatible,snoring_compatible,pet_compatible,roommate_count_match,lifestyle_personality_match,compatibility_score,is_bookmarked
36,71,0,15.5,0,0,0,0,1,0,1,0,1,1,1,1,0,0.625,0
275,15,0,7.0,0,1,0,0,1,0,0,0,1,1,1,1,0,0.625,0
138,4,0,7.5,0,1,1,1,1,0,1,1,1,1,1,1,0,0.75,0
114,116,1,3.5,1,0,0,0,0,1,1,1,1,1,1,1,0,0.75,0
197,132,0,16.0,0,1,1,1,1,0,0,1,1,1,1,1,0,0.75,0
6,38,0,24.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0.25,0
235,85,1,0.5,1,1,1,1,0,1,1,1,1,1,1,1,0,0.875,1
74,25,1,5.0,1,0,1,0,1,1,1,1,1,1,1,0,1,0.75,0
293,22,1,1.0,1,1,0,0,0,0,0,1,1,0,1,1,0,0.5,1
295,2,0,7.0,0,1,1,1,0,0,1,0,1,1,1,0,0,0.5,0
34,116,1,0.5,1,0,0,0,1,0,0,0,1,0,1,0,0,0.5,0
319,93,1,3.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0.625,0
167,85,1,0.5,1,0,0,0,0,1,1,1,1,1,1,1,0,0.75,0
142,43,1,4.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0.625,0
168,138,1,3.0,1,0,0,0,1,1,1,0,1,0,1,0,1,0.625,0
187,118,0,5.0,0,1,1,1,1,1,0,0,1,1,1,0,1,0.75,0
141,79,0,4.5,0,1,0,0,1,0,1,0,0,0,0,1,0,0.25,0
348,83,0,6.0,0,1,1,1,1,0,0,1,1,1,1,0,0,0.625,0
58,127,0,6.5,0,0,0,0,0,1,0,0,1,1,1,1,0,0.625,0
394,67,1,1.5,1,1,0,0,0,1,1,0,1,1,1,1,0,0.75,0
133,98,1,1.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0.75,0
225,21,0,7.5,0,0,0,0,1,0,0,1,0,1,1,1,0,0.5,0
349,87,0,4.0,0,1,1,1,0,0,0,0,1,1,1,1,0,0.625,0
218,109,1,2.0,1,0,1,0,1,1,0,1,1,0,1,1,1,0.75,0
301,120,1,4.5,1,1,1,1,0,1,0,0,1,1,1,1,0,0.875,0
230,109,1,4.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0
227,59,0,16.5,0,0,0,0,1,0,1,1,1,0,1,1,0,0.5,0
66,118,0,5.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.375,0
293,74,0,5.0,0,1,1,1,0,0,0,1,1,1,1,1,0,0.625,0
135,93,0,9.5,0,1,1,1,1,0,0,0,1,1,1,0,0,0.625,0
375,43,1,2.5,1,1,1,1,0,1,1,1,1,1,1,0,0,0.75,0
135,61,1,2.5,1,1,0,0,0,0,0,0,1,0,1,1,0,0.5,0
